www.gocharting.com

date,open,high,low,close,volume,open_interest
"Wed Aug 30 2023 13:15:00 GMT+0530 (India Standard Time)","41.25","41.75","39.7","40.35","27000","348450",
"Wed Aug 30 2023 13:30:00 GMT+0530 (India Standard Time)","40.45","41","37.15","37.85","28485","350625",
"Wed Aug 30 2023 13:45:00 GMT+0530 (India Standard Time)","37.85","38.85","36.85","37.95","67125","369195",
"Wed Aug 30 2023 14:00:00 GMT+0530 (India Standard Time)","37.95","38.05","33.45","34.8","71235","373695",
"Wed Aug 30 2023 14:15:00 GMT+0530 (India Standard Time)","34.6","35","31.9","32.6","194640","368160",
"Wed Aug 30 2023 14:30:00 GMT+0530 (India Standard Time)","32.8","33.8","27.65","28.1","350850","433785",
"Wed Aug 30 2023 14:45:00 GMT+0530 (India Standard Time)","28.05","30.55","27.95","29.4","112395","440955",
"Wed Aug 30 2023 15:00:00 GMT+0530 (India Standard Time)","29.45","29.6","23.65","25.75","369270","449085",
"Wed Aug 30 2023 15:15:00 GMT+0530 (India Standard Time)","25.7","28.2","24.3","27.55","410520","510210",
"Thu Aug 31 2023 09:15:00 GMT+0530 (India Standard Time)","27.7","28.55","19.55","21.85","436681","488400",
"Thu Aug 31 2023 09:30:00 GMT+0530 (India Standard Time)","21.8","29.25","21.6","29","353970","489960",
"Thu Aug 31 2023 09:45:00 GMT+0530 (India Standard Time)","29.45","30.3","24.9","25.2","196920","491325",
"Thu Aug 31 2023 10:00:00 GMT+0530 (India Standard Time)","25.2","25.45","21.95","23.4","249345","498780",
"Thu Aug 31 2023 10:15:00 GMT+0530 (India Standard Time)","23.25","24.5","22.6","22.85","169290","519255",
"Thu Aug 31 2023 10:30:00 GMT+0530 (India Standard Time)","22.8","24.75","22.7","24.4","261465","563895",
"Thu Aug 31 2023 10:45:00 GMT+0530 (India Standard Time)","24.5","25.85","24.2","25.6","154335","614250",
"Thu Aug 31 2023 11:00:00 GMT+0530 (India Standard Time)","25.5","25.5","24.2","24.25","91665","613620",
"Thu Aug 31 2023 11:15:00 GMT+0530 (India Standard Time)","24.4","25.5","24","24.65","66495","623130",
"Thu Aug 31 2023 11:30:00 GMT+0530 (India Standard Time)","24.6","25.2","23.7","23.95","127875","627015",
"Thu Aug 31 2023 11:45:00 GMT+0530 (India Standard Time)","24","24.1","22.5","23.55","140100","626130",
"Thu Aug 31 2023 12:00:00 GMT+0530 (India Standard Time)","23.65","23.65","22.35","22.55","190440","595290",
"Thu Aug 31 2023 12:15:00 GMT+0530 (India Standard Time)","22.45","24","21.45","22.65","118575","607410",
"Thu Aug 31 2023 12:30:00 GMT+0530 (India Standard Time)","22.75","22.75","21.75","22.2","66555","620250",
"Thu Aug 31 2023 12:45:00 GMT+0530 (India Standard Time)","22.3","22.5","21.25","21.5","76305","632985",
"Thu Aug 31 2023 13:00:00 GMT+0530 (India Standard Time)","21.5","22","20.1","20.75","114105","640290",
"Thu Aug 31 2023 13:15:00 GMT+0530 (India Standard Time)","20.7","21.1","19.15","20.1","172500","658065",
"Thu Aug 31 2023 13:30:00 GMT+0530 (India Standard Time)","19.95","21.6","18.75","19.1","190740","662610",
"Thu Aug 31 2023 13:45:00 GMT+0530 (India Standard Time)","19.25","20","17.9","18.5","169545","682725",
"Thu Aug 31 2023 14:00:00 GMT+0530 (India Standard Time)","18.4","18.8","17.45","18.4","93105","691320",
"Thu Aug 31 2023 14:15:00 GMT+0530 (India Standard Time)","18.5","18.5","16.55","16.95","142320","688485",
"Thu Aug 31 2023 14:30:00 GMT+0530 (India Standard Time)","16.95","17.85","15.5","15.95","209355","719205",
"Thu Aug 31 2023 14:45:00 GMT+0530 (India Standard Time)","15.95","16.1","14.4","14.7","664920","893970",
"Thu Aug 31 2023 15:00:00 GMT+0530 (India Standard Time)","14.9","15.6","12.85","14.65","917925","1175850",
"Thu Aug 31 2023 15:15:00 GMT+0530 (India Standard Time)","14.75","15.55","12.9","12.9","1139565","1352250",
"Fri Sep 01 2023 09:15:00 GMT+0530 (India Standard Time)","14","15","9.35","9.55","2372553","1707615",
"Fri Sep 01 2023 09:30:00 GMT+0530 (India Standard Time)","14","15","9.05","9.3","6154506","1903545",
"Fri Sep 01 2023 09:45:00 GMT+0530 (India Standard Time)","9.3","9.6","8.55","8.95","915195","1999515",
"Fri Sep 01 2023 10:00:00 GMT+0530 (India Standard Time)","8.95","9.2","8.4","8.8","878250","2127930",
"Fri Sep 01 2023 10:15:00 GMT+0530 (India Standard Time)","8.85","9.65","8.2","9.4","773085","2205750",
"Fri Sep 01 2023 10:30:00 GMT+0530 (India Standard Time)","9.4","9.65","8.4","8.45","799725","2234355",
"Fri Sep 01 2023 10:45:00 GMT+0530 (India Standard Time)","8.45","9.2","8.45","9","468285","2290095",
"Fri Sep 01 2023 11:00:00 GMT+0530 (India Standard Time)","9","11.7","8.75","9.15","1581570","2184045",
"Fri Sep 01 2023 11:15:00 GMT+0530 (India Standard Time)","9.15","10.2","9.05","9.5","533085","2191365",
"Fri Sep 01 2023 11:30:00 GMT+0530 (India Standard Time)","9.5","9.6","8.25","8.5","741810","2159190",
"Fri Sep 01 2023 11:45:00 GMT+0530 (India Standard Time)","8.45","9.1","8.25","8.6","372690","2140995",
"Fri Sep 01 2023 12:00:00 GMT+0530 (India Standard Time)","8.65","9.15","8.6","9","401145","2167080",
"Fri Sep 01 2023 12:15:00 GMT+0530 (India Standard Time)","8.95","9.5","8.65","9.25","444930","2205840",
"Fri Sep 01 2023 12:30:00 GMT+0530 (India Standard Time)","9.2","11.1","9","10.35","1065615","2189580",
"Fri Sep 01 2023 12:45:00 GMT+0530 (India Standard Time)","10.35","12.4","10.35","11.25","1428195","2132415",
"Fri Sep 01 2023 13:00:00 GMT+0530 (India Standard Time)","11.25","12.4","10.6","11.65","1472325","2191245",
"Fri Sep 01 2023 13:15:00 GMT+0530 (India Standard Time)","11.7","12.65","10.3","10.55","1474200","2167005",
"Fri Sep 01 2023 13:30:00 GMT+0530 (India Standard Time)","10.6","11.05","10.05","10.75","943305","2203995",
"Fri Sep 01 2023 13:45:00 GMT+0530 (India Standard Time)","10.75","12.65","10.6","12.65","848835","2113020",
"Fri Sep 01 2023 14:00:00 GMT+0530 (India Standard Time)","12.95","18.9","12.9","16.85","2705340","1973970",
"Fri Sep 01 2023 14:15:00 GMT+0530 (India Standard Time)","16.85","17.4","13.2","15.1","1514970","1983240",
"Fri Sep 01 2023 14:30:00 GMT+0530 (India Standard Time)","15.1","16.3","13","13.85","848565","2018640",
"Fri Sep 01 2023 14:45:00 GMT+0530 (India Standard Time)","13.85","14.1","10.55","12.6","1215075","2120610",
"Fri Sep 01 2023 15:00:00 GMT+0530 (India Standard Time)","12.65","13.2","10.85","11.3","1117920","2055450",
"Fri Sep 01 2023 15:15:00 GMT+0530 (India Standard Time)","11.2","12.8","9.8","11.2","2295735","2091900",
