www.gocharting.com

date,open,high,low,close,volume,open_interest
"Thu Aug 10 2023 15:15:00 GMT+0530 (India Standard Time)","38.45","40.4","35.1","35.15","1003845","1304460",
"Fri Aug 11 2023 09:15:00 GMT+0530 (India Standard Time)","35.9","37.15","20","21.2","5582793","1951170",
"Fri Aug 11 2023 10:15:00 GMT+0530 (India Standard Time)","21.2","23.2","18.1","19.05","2625390","1976325",
"Fri Aug 11 2023 11:15:00 GMT+0530 (India Standard Time)","19.15","21","18.25","19.2","1555560","2058015",
"Fri Aug 11 2023 12:15:00 GMT+0530 (India Standard Time)","19.25","24.05","16.05","20.3","2851065","2004300",
"Fri Aug 11 2023 13:15:00 GMT+0530 (India Standard Time)","20.4","20.5","15.4","16.45","2250735","2053470",
"Fri Aug 11 2023 14:15:00 GMT+0530 (India Standard Time)","16.45","17.15","14.5","15.65","3417150","2233440",
"Fri Aug 11 2023 15:15:00 GMT+0530 (India Standard Time)","15.65","17.95","15.05","15.55","1632630","2137425",
"Mon Aug 14 2023 09:15:00 GMT+0530 (India Standard Time)","13.7","13.7","8.4","9.5","5916033","2402805",
"Mon Aug 14 2023 10:15:00 GMT+0530 (India Standard Time)","9.45","9.9","8.7","8.7","1541535","2497170",
"Mon Aug 14 2023 11:15:00 GMT+0530 (India Standard Time)","8.75","8.85","7.8","8.05","1495995","2421990",
"Mon Aug 14 2023 12:15:00 GMT+0530 (India Standard Time)","8.1","8.15","6.65","6.9","1622280","2362185",
"Mon Aug 14 2023 13:15:00 GMT+0530 (India Standard Time)","6.85","9.3","6.3","8.5","2444550","2302785",
"Mon Aug 14 2023 14:15:00 GMT+0530 (India Standard Time)","8.5","8.85","5.2","5.45","3823620","2431725",
"Mon Aug 14 2023 15:15:00 GMT+0530 (India Standard Time)","5.4","5.75","5.15","5.3","1339380","2523510",
"Wed Aug 16 2023 09:15:00 GMT+0530 (India Standard Time)","4.8","5.15","3.9","3.95","6016503","2919705",
"Wed Aug 16 2023 10:15:00 GMT+0530 (India Standard Time)","3.95","4.15","3.65","3.8","2618910","3134805",
"Wed Aug 16 2023 11:15:00 GMT+0530 (India Standard Time)","3.8","3.95","3.4","3.45","2565750","3183990",
"Wed Aug 16 2023 12:15:00 GMT+0530 (India Standard Time)","3.4","3.8","3.2","3.25","2181990","3039780",
"Wed Aug 16 2023 13:15:00 GMT+0530 (India Standard Time)","3.3","3.4","2.6","2.95","2728080","2870175",
"Wed Aug 16 2023 14:15:00 GMT+0530 (India Standard Time)","2.9","3.25","2.6","3","2599200","2774805",
"Wed Aug 16 2023 15:15:00 GMT+0530 (India Standard Time)","2.95","2.95","2.55","2.65","1554045","2647620",
"Thu Aug 17 2023 09:15:00 GMT+0530 (India Standard Time)","1.95","3.2","1.95","2.9","11130213","4455465",
"Thu Aug 17 2023 10:15:00 GMT+0530 (India Standard Time)","2.9","3.15","2.25","2.35","5285445","4632330",
"Thu Aug 17 2023 11:15:00 GMT+0530 (India Standard Time)","2.35","2.85","1.85","1.9","5943990","4716285",
"Thu Aug 17 2023 12:15:00 GMT+0530 (India Standard Time)","1.9","2.45","1.35","1.55","6768630","4823160",
"Thu Aug 17 2023 13:15:00 GMT+0530 (India Standard Time)","1.55","1.65","0.6","0.65","4382670","4309485",
"Thu Aug 17 2023 14:15:00 GMT+0530 (India Standard Time)","0.65","0.7","0.05","0.05","5846055","2880420",
"Thu Aug 17 2023 15:15:00 GMT+0530 (India Standard Time)","0.05","0.1","0.05","0.05","597855","2465130",
