www.gocharting.com

date,open,high,low,close,volume,open_interest
"Tue Aug 01 2023 13:45:00 GMT+0530 (India Standard Time)","292.55","300","283","283","1275","28605",
"Tue Aug 01 2023 14:00:00 GMT+0530 (India Standard Time)","278.3","279","270","278","1035","28710",
"Tue Aug 01 2023 14:15:00 GMT+0530 (India Standard Time)","279","295","279","295","645","28875",
"Tue Aug 01 2023 14:30:00 GMT+0530 (India Standard Time)","294.55","306","290.4","302.85","1845","27780",
"Tue Aug 01 2023 14:45:00 GMT+0530 (India Standard Time)","301.55","301.55","285.85","294.8","1185","27315",
"Tue Aug 01 2023 15:00:00 GMT+0530 (India Standard Time)","282.05","297.45","280.25","282.45","4110","28320",
"Tue Aug 01 2023 15:15:00 GMT+0530 (India Standard Time)","282.85","296","282.85","290","5325","27705",
"Wed Aug 02 2023 09:15:00 GMT+0530 (India Standard Time)","214.05","219.7","184","184","6542","30090",
"Wed Aug 02 2023 09:30:00 GMT+0530 (India Standard Time)","184","194.95","183.4","188","3765","31260",
"Wed Aug 02 2023 09:45:00 GMT+0530 (India Standard Time)","188","192.05","183.25","192","1830","32205",
"Wed Aug 02 2023 10:00:00 GMT+0530 (India Standard Time)","193.5","193.5","181","181","3435","33105",
"Wed Aug 02 2023 10:15:00 GMT+0530 (India Standard Time)","180.05","181.65","171.3","175.35","3510","35220",
"Wed Aug 02 2023 10:30:00 GMT+0530 (India Standard Time)","173","173","158.6","164.75","8160","36630",
"Wed Aug 02 2023 10:45:00 GMT+0530 (India Standard Time)","163","163.2","155","155","7365","38805",
"Wed Aug 02 2023 11:00:00 GMT+0530 (India Standard Time)","154.7","157.95","139.65","149.3","12150","41280",
"Wed Aug 02 2023 11:15:00 GMT+0530 (India Standard Time)","146.1","148","142","142","2130","41670",
"Wed Aug 02 2023 11:30:00 GMT+0530 (India Standard Time)","142","142.9","131.6","142.45","3300","42150",
"Wed Aug 02 2023 11:45:00 GMT+0530 (India Standard Time)","143.75","144.4","136.85","136.85","1680","42435",
"Wed Aug 02 2023 12:00:00 GMT+0530 (India Standard Time)","136.85","146.25","135","143.65","2130","43050",
"Wed Aug 02 2023 12:15:00 GMT+0530 (India Standard Time)","141.9","141.9","137.95","138","1710","42960",
"Wed Aug 02 2023 12:30:00 GMT+0530 (India Standard Time)","140","146","139","142","1560","42840",
"Wed Aug 02 2023 12:45:00 GMT+0530 (India Standard Time)","144.9","146.9","128","131.2","6030","44370",
"Wed Aug 02 2023 13:00:00 GMT+0530 (India Standard Time)","133.35","136.1","123.65","125","2490","45135",
"Wed Aug 02 2023 13:15:00 GMT+0530 (India Standard Time)","125","127.15","116.95","118.9","5850","45255",
"Wed Aug 02 2023 13:30:00 GMT+0530 (India Standard Time)","116.15","121.9","104.2","111.85","23865","54735",
"Wed Aug 02 2023 13:45:00 GMT+0530 (India Standard Time)","107.45","114.9","105.25","105.25","9405","59115",
"Wed Aug 02 2023 14:00:00 GMT+0530 (India Standard Time)","105.25","112.2","102.1","102.1","4575","59370",
"Wed Aug 02 2023 14:15:00 GMT+0530 (India Standard Time)","106.1","107.7","100.3","103.6","5835","59925",
"Wed Aug 02 2023 14:30:00 GMT+0530 (India Standard Time)","106.15","112.2","103.1","108.3","3345","61170",
"Wed Aug 02 2023 14:45:00 GMT+0530 (India Standard Time)","107.65","115.95","106.7","112","4620","61065",
"Wed Aug 02 2023 15:00:00 GMT+0530 (India Standard Time)","111.4","123.05","106.15","123.05","7335","61500",
"Wed Aug 02 2023 15:15:00 GMT+0530 (India Standard Time)","123.5","135.95","119.25","123.85","13170","63270",
"Thu Aug 03 2023 09:15:00 GMT+0530 (India Standard Time)","132","135.55","88.95","118","10921","68010",
"Thu Aug 03 2023 09:30:00 GMT+0530 (India Standard Time)","121","126","109.95","110.6","6975","66870",
"Thu Aug 03 2023 09:45:00 GMT+0530 (India Standard Time)","110","120.55","108.35","112.05","4245","67485",
"Thu Aug 03 2023 10:00:00 GMT+0530 (India Standard Time)","111.6","111.6","97.75","99.6","5385","70755",
"Thu Aug 03 2023 10:15:00 GMT+0530 (India Standard Time)","99.3","101","93","100.9","3675","71760",
"Thu Aug 03 2023 10:30:00 GMT+0530 (India Standard Time)","96.4","100","92.55","93.3","2775","72165",
"Thu Aug 03 2023 10:45:00 GMT+0530 (India Standard Time)","94","98.9","91.1","96.05","6915","71025",
"Thu Aug 03 2023 11:00:00 GMT+0530 (India Standard Time)","97","103.45","92.1","95","3660","70980",
"Thu Aug 03 2023 11:15:00 GMT+0530 (India Standard Time)","97.2","98.2","91","95.45","765","71835",
"Thu Aug 03 2023 11:30:00 GMT+0530 (India Standard Time)","95.4","97.1","90.5","93","2460","72210",
"Thu Aug 03 2023 11:45:00 GMT+0530 (India Standard Time)","94","94","86.05","92.75","2325","73680",
"Thu Aug 03 2023 12:00:00 GMT+0530 (India Standard Time)","90.05","93","81","81","17640","75465",
"Thu Aug 03 2023 12:15:00 GMT+0530 (India Standard Time)","78.5","81","69.5","73","7650","77490",
"Thu Aug 03 2023 12:30:00 GMT+0530 (India Standard Time)","71.05","74.85","69.45","72","13395","79635",
"Thu Aug 03 2023 12:45:00 GMT+0530 (India Standard Time)","71.55","72.3","66.5","70.85","10530","81315",
"Thu Aug 03 2023 13:00:00 GMT+0530 (India Standard Time)","69","71.95","66.65","68.95","7380","83535",
"Thu Aug 03 2023 13:15:00 GMT+0530 (India Standard Time)","69","70","64.25","64.45","6600","85185",
"Thu Aug 03 2023 13:30:00 GMT+0530 (India Standard Time)","67.15","69.5","64.3","65.15","5715","85965",
"Thu Aug 03 2023 13:45:00 GMT+0530 (India Standard Time)","67","67","57.7","59.4","7125","89910",
"Thu Aug 03 2023 14:00:00 GMT+0530 (India Standard Time)","58.05","62.3","54.9","55.5","13170","93930",
"Thu Aug 03 2023 14:15:00 GMT+0530 (India Standard Time)","55.75","63.05","55.55","63.05","5040","93915",
"Thu Aug 03 2023 14:30:00 GMT+0530 (India Standard Time)","62.7","66.3","60","60.1","8070","96015",
"Thu Aug 03 2023 14:45:00 GMT+0530 (India Standard Time)","59.95","61.75","52.35","58.15","7845","96840",
"Thu Aug 03 2023 15:00:00 GMT+0530 (India Standard Time)","58.15","59.95","49.85","56.6","32220","100170",
"Thu Aug 03 2023 15:15:00 GMT+0530 (India Standard Time)","58","59.3","53","56","29085","103095",
"Fri Aug 04 2023 09:15:00 GMT+0530 (India Standard Time)","63.05","63.05","53.05","57","94171","137505",
"Fri Aug 04 2023 09:30:00 GMT+0530 (India Standard Time)","56.5","56.75","44.25","44.6","51570","141045",
"Fri Aug 04 2023 09:45:00 GMT+0530 (India Standard Time)","44.05","47.75","42.35","46.2","26505","141585",
"Fri Aug 04 2023 10:00:00 GMT+0530 (India Standard Time)","46.6","51.4","45.3","51.4","22050","140295",
"Fri Aug 04 2023 10:15:00 GMT+0530 (India Standard Time)","50.85","51.85","49.25","50.7","13050","140010",
"Fri Aug 04 2023 10:30:00 GMT+0530 (India Standard Time)","50.5","58.15","48.4","58.15","20925","138960",
"Fri Aug 04 2023 10:45:00 GMT+0530 (India Standard Time)","59.05","59.05","54.9","57.55","15225","140880",
"Fri Aug 04 2023 11:00:00 GMT+0530 (India Standard Time)","58.1","75.85","57.65","72.3","57255","142470",
"Fri Aug 04 2023 11:15:00 GMT+0530 (India Standard Time)","72.6","109.2","72.6","106.6","107745","135885",
"Fri Aug 04 2023 11:30:00 GMT+0530 (India Standard Time)","106.6","110","97","102.85","69540","146385",
"Fri Aug 04 2023 11:45:00 GMT+0530 (India Standard Time)","102.85","114","101.1","103.5","41040","153975",
"Fri Aug 04 2023 12:00:00 GMT+0530 (India Standard Time)","104.3","105.95","94.05","105.75","24915","151740",
"Fri Aug 04 2023 12:15:00 GMT+0530 (India Standard Time)","105.75","107.4","98.75","100.4","32655","163485",
"Fri Aug 04 2023 12:30:00 GMT+0530 (India Standard Time)","100.05","100.05","78.75","92","46395","169650",
"Fri Aug 04 2023 12:45:00 GMT+0530 (India Standard Time)","91.6","97.75","82.75","83.6","31185","178125",
"Fri Aug 04 2023 13:00:00 GMT+0530 (India Standard Time)","84.35","90.05","78.2","79.45","27690","178740",
"Fri Aug 04 2023 13:15:00 GMT+0530 (India Standard Time)","79.5","85.35","66.75","68.5","34500","179430",
"Fri Aug 04 2023 13:30:00 GMT+0530 (India Standard Time)","68.5","71.95","52.8","65.1","68355","175290",
"Fri Aug 04 2023 13:45:00 GMT+0530 (India Standard Time)","66","66","55.4","56","22800","176805",
"Fri Aug 04 2023 14:00:00 GMT+0530 (India Standard Time)","55.7","63.85","54.55","62.3","16485","177345",
"Fri Aug 04 2023 14:15:00 GMT+0530 (India Standard Time)","62","68.5","58.35","61.8","31200","189480",
